Command,Mean_Time,Std_Dev,Min_Time,Max_Time,Median_Time,Runs,Baseline_Mean,Regression_Factor,Verdict
python -m scripts.cli status --skip-validation,0.17912300254500002,0.003756932177459242,0.17308843342000002,0.18770696742,0.17884383792000003,16,0.5,0.35824600509000004,✅ IMPROVED
python -m scripts.cli status --detailed,0.18030929818250002,0.004224560461493766,0.17571896262000003,0.19208071962000003,0.17989407012000003,16,2.0,0.09015464909125001,✅ IMPROVED
python -m scripts.cli status --json,0.17090338437647062,0.004510875249451279,0.1617685372,0.1810879642,0.1707465142,17,1.0,0.17090338437647062,✅ IMPROVED
