Command,Mean_Time,Std_Dev,Min_Time,Max_Time,Median_Time,Runs,Baseline_Mean,Regression_Factor,Verdict
python -m scripts.cli status --skip-validation,0.1794156437775,0.004170295201615361,0.17112498834000003,0.18481912334000003,0.17950786534000002,16,0.5,0.358831287555,✅ IMPROVED
python -m scripts.cli status --detailed,0.17978896437333336,0.005615279875356036,0.17042417764000004,0.19329561364000003,0.18022747864000002,15,2.0,0.08989448218666668,✅ IMPROVED
python -m scripts.cli status --json,0.17161687838500003,0.003862072849056435,0.16643105626000002,0.17987352426,0.17030569126,16,1.0,0.17161687838500003,✅ IMPROVED
