Command,Mean_Time,Std_Dev,Min_Time,Max_Time,Median_Time,Runs,Baseline_Mean,Regression_Factor,Verdict
python -m scripts.cli status --skip-validation,0.18384876227500002,0.0028619918807788825,0.1787092029,0.1885361959,0.1834538134,16,0.5,0.36769752455000004,✅ IMPROVED
python -m scripts.cli status --detailed,0.181277401725,0.004594450019070369,0.1753325061,0.1896468051,0.1824108411,16,2.0,0.0906387008625,✅ IMPROVED
python -m scripts.cli status --json,0.17630274417750003,0.003146377078964884,0.17141021074,0.18458637774,0.17649667574,16,1.0,0.17630274417750003,✅ IMPROVED
